County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,19017,3493,1364,92
Woodbury,9417,2462,1203,23
Black Hawk,7945,1661,934,37
Linn,7568,915,739,74
Johnson,6085,590,321,7
Scott,5229,329,283,9
Dubuque,4102,304,144,16
Dallas,4057,824,498,13
Marshall,3205,852,442,9
Muscatine,2773,540,346,35
Pottawattamie,2488,193,99,4
Story,1847,88,63,1
Cerro Gordo,1775,20,14,1
Wapello,1746,459,120,3
Jasper,1688,249,188,15
Warren,1573,95,61,0
Crawford,1519,440,232,2
Tama,1342,383,216,23
Boone,1321,51,21,0
Clinton,1256,61,51,1
Webster,1221,22,10,1
Washington,1217,176,135,8
Buena Vista,1170,136,26,0
Louisa,991,327,210,7
Wright,908,77,7,0
Sioux,846,183,89,0
Plymouth,845,100,63,0
Benton,785,37,29,1
Cedar,749,44,40,1
Des Moines,745,52,30,1
Marion,719,28,18,0
Allamakee,696,118,84,4
Fayette,659,25,25,0
Bremer,640,65,53,5
Floyd,632,15,8,1
Winneshiek,618,21,18,0
Mills,613,14,11,0
Hamilton,611,15,9,0
Jones,608,36,33,0
Buchanan,597,31,23,0
Henry,570,54,41,1
Iowa,547,33,26,0
Clayton,520,30,24,3
Mahaska,519,47,17,2
Lee,501,20,17,0
Poweshiek,496,87,66,8
Carroll,478,8,6,0
Page,466,10,9,0
Delaware,461,14,12,0
Franklin,455,7,5,0
Hardin,435,13,9,0
Jackson,432,8,7,0
Madison,394,21,11,1
Butler,388,15,12,0
Grundy,376,20,12,0
Guthrie,369,42,28,3
Harrison,357,18,17,0
Hancock,355,10,3,0
O'Brien,347,24,13,0
Clarke,332,29,9,0
Sac,317,8,4,0
Cherokee,312,10,8,0
Chickasaw,309,8,6,0
Kossuth,307,7,2,0
Union,303,4,1,0
Mitchell,301,4,4,0
Jefferson,296,14,8,0
Clay,296,9,9,0
Winnebago,287,10,6,0
Greene,286,13,14,0
Howard,281,12,10,0
Monona,281,19,13,0
Appanoose,278,8,4,3
Cass,273,6,1,0
Keokuk,270,13,10,0
Dickinson,267,8,6,0
Shelby,253,27,22,0
Humboldt,248,10,7,0
Worth,236,3,2,0
Calhoun,230,2,1,0
Lyon,227,19,18,0
Emmet,217,7,1,0
Montgomery,216,5,5,0
Pending Investigation,205,14,1,0
Monroe,200,29,5,3
Ida,196,8,4,0
Decatur,184,0,0,0
Audubon,181,11,8,1
Adair,170,6,2,0
Lucas,161,4,1,0
Osceola,161,30,22,0
Pocahontas,152,3,2,0
Taylor,148,5,1,0
Palo Alto,138,3,1,0
Van Buren,135,8,8,0
Davis,129,16,10,0
Ringgold,110,2,0,0
Fremont,109,4,2,0
Wayne,94,1,1,0
Adams,80,3,0,0
Pending Investigation,4,1,0,0
